X,Y,Z,vertex_index,vertex_part,vertex_part_index,distance,angle
11.6620419102598,55.9207780650535,0,"0","0","0",0.00000000000000,82.88936154067881
11.6662760134712,55.9213062488747,0,"1","0","1",0.00426692021882,42.82787811425846
11.6663553424853,55.9229479832258,0,"2","0","2",0.00591057005129,317.54048544781665
11.6643538560509,55.9230288812355,0,"3","0","3",0.00791369072539,197.81735922797984
11.6647379301514,55.9227763983821,0,"4","0","4",0.00837332156191,144.08151456500451
11.6649247355687,55.9220868005525,0,"5","0","5",0.00908777340109,137.24103452998870
11.6669979696611,55.9213469571418,0,"6","0","6",0.01128906117743,94.98010393664325
11.6695872149248,55.92178856707,0,"7","0","7",0.01391569597581,79.68458854370436
11.6716382414192,55.9221854577152,0,"8","0","8",0.01600477037968,21.03699969609451
11.6708260508322,55.9232642832977,0,"9","0","9",0.01735514743330,290.40948431915348
11.6680246856619,55.922658254624,0,"10","0","10",0.02022131518327,245.45880368624091
11.6668079316438,55.9217455027603,0,"11","0","11",0.02174236952333,208.86618881979871
11.6666945950417,55.9203392839569,0,"12","0","12",0.02315314821194,184.26894644855503
11.6666656057282,55.9199173097012,0,"13","0","13",0.02357611706749,214.04671098511179
11.6643821423536,55.9188116412692,0,"14","0","14",0.02611318381180,234.99101860695683
11.6616407758163,55.916147511375,0,"15","0","15",0.02993583715533,210.05774594869743
11.6612290159518,55.9145317448394,0,"16","0","16",0.03160324462904,233.51412870983276
11.6569121964135,55.9147376906631,0,"17","0","17",0.03592497398300,230.72128992784323
11.6564589949224,55.9117798717019,0,"18","0","18",0.03891731163084,129.17178800289614
11.6600447744265,55.9131111049755,0,"19","0","19",0.04274222949669,91.84056766120510
11.6644902153399,55.9111273326732,0,"20","0","20",0.04761021649976,151.22379869308705
11.6643340318101,55.9100695118097,0,"21","0","21",0.04867950517655,136.88787825557282
11.6669905110113,55.9102843243099,0,"22","0","22",0.05134465548315,31.73932780706749
11.6665906647305,55.9112790604704,0,"23","0","23",0.05241674553406,317.83277504840146
11.6641693377496,55.9125429528817,0,"24","0","24",0.05514809105882,275.16336461193657
11.661452956797,55.9117001656801,0,"25","0","25",0.05799221056172,267.14770284452430
11.6559451969808,55.9128239845985,0,"26","0","26",0.06361345483270,343.62459183895254
11.6586865770103,55.9154976260762,0,"27","0","27",0.06744275283854,71.52623556286306
11.6653499702748,55.9146397966566,0,"28","0","28",0.07416113665536,151.08545652328516
11.6647217032079,55.9132822892619,0,"29","0","29",0.07565697950604,255.75359780785172
11.6633058383303,55.914336568634,0,"30","0","30",0.07742224955516,324.50970815482560
11.6629206520449,55.9155469701415,0,"31","0","31",0.07869246224750,2.81866291401572
11.6635174298019,55.9169333408523,0,"32","0","32",0.08020182219098,39.22842939521861
11.6649047985781,55.9178987766559,0,"33","0","33",0.08189204655829,345.83659802012147
11.6640917278454,55.9179915049749,0,"34","0","34",0.08271038790359,276.50630327267714
